url,name,price,comprice,comquantity,comunit,timestamp
https://api.pcexpress.ca/pcx-bff/api/v1/products/21660958_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,Cinnamon Croissants,6,1.42,100,g,2025-04-11T20:17:44.743Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21660373_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,Indian Samosa Wrap,4.49,3.16,100,g,2025-04-11T22:38:07.524Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21660373_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,Indian Samosa Wrap,4.49,3.16,100,g,2025-04-11T22:42:39.198Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21660350_EA?lang=en&date=11042025&pickupType=STORE&storeId=7411&banner=nofrills,"Broccoli & Roasted Red Potatoes, Cheddar",4.5,1.14,100,g,2025-04-11T17:20:04.515Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21660350_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,"Broccoli & Roasted Red Potatoes, Cheddar",4.5,1.14,100,g,2025-04-11T17:25:42.542Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21659906_EA?lang=en&date=11042025&pickupType=STORE&storeId=7411&banner=nofrills,Crushed Jalapeño Pepper,6.79,10.29,100,g,2025-04-11T19:05:08.159Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21659906_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,Crushed Jalapeño Pepper,6.79,10.29,100,g,2025-04-11T18:51:13.708Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21659884_EA?lang=en&date=11042025&pickupType=STORE&storeId=7411&banner=nofrills,La Grille Seasoning Rub Montreal Bbq,6.49,3.71,100,g,2025-04-11T17:44:56.602Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21659884_EA?lang=en&date=11042025&pickupType=STORE&storeId=7411&banner=nofrills,La Grille Seasoning Rub Montreal Bbq,6.49,3.71,100,g,2025-04-11T18:00:14.109Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21659884_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,La Grille Seasoning Rub Montreal Bbq,6.49,3.71,100,g,2025-04-11T17:37:21.541Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21659870_EA?lang=en&date=11042025&pickupType=STORE&storeId=7411&banner=nofrills,Flavour Maker Pizza Topping Seasoning,6.49,6.98,100,g,2025-04-11T21:15:02.782Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21659686_EA?lang=en&date=11042025&pickupType=STORE&storeId=7411&banner=nofrills,Dehydrated Broth Pho,5.99,1.5,100,g,2025-04-11T17:27:33.177Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21659473_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,High Protein Yogurt 3.5% M.F. Vanilla,7.29,1.12,100,g,2025-04-11T19:04:27.110Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21659444_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,"Duo Creamy Yogurt, Lemon Vanilla",4.49,0.69,100,g,2025-04-11T17:32:54.182Z
