url,name,price,comprice,comquantity,comunit,timestamp
https://api.pcexpress.ca/pcx-bff/api/v1/products/20685574001_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,Stirred Yogurts 0 % M.F.,5.79,0.48,100,g,2025-04-11T14:48:29.994Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20314629002_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,"Whole Tomatoes, No Salt Added",2.5,0.31,100,ml,2025-04-11T14:48:36.801Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20527710_EA?lang=en&date=11042025&pickupType=STORE&storeId=7411&banner=nofrills,Savory Stuffed Turkey,8.99,1.98,100,g,2025-04-11T14:48:42.893Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21013378_EA?lang=en&date=11042025&pickupType=STORE&storeId=7411&banner=nofrills,Nabob Cappuccino Coffee Single Serve T-Discs,7.99,3.04,100,g,2025-04-11T14:48:49.396Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21400663_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,Chocolate Dip,4.49,1.8,100,g,2025-04-11T14:48:55.776Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20800613_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,The Decadent Molten Chocolate Cakes,5,2.31,100,g,2025-04-11T14:49:02.349Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20021666_EA?lang=en&date=11042025&pickupType=STORE&storeId=7411&banner=nofrills,"Peanuts, Dry Roasted",5.99,1,100,g,2025-04-11T14:49:08.340Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20557542_EA?lang=en&date=11042025&pickupType=STORE&storeId=7411&banner=nofrills,Rinse Agent,5.49,2.2,100,ml,2025-04-11T14:49:14.482Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21022299_EA?lang=en&date=11042025&pickupType=STORE&storeId=7411&banner=nofrills,Whole Kernel Corn Niblets,2.75,0.37,100,g,2025-04-11T14:49:23.092Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21603234_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,Seasoned Pork Loin Roast Maple Apple Flavour,13.99,1.92,100,g,2025-04-11T14:49:29.215Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21040069_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,"Black Beans, No Salt Added",1.79,0.33,100,ml,2025-04-11T14:49:35.806Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20339076_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,Original Trail Mix Club Size,11.99,1.2,100,g,2025-04-11T14:49:42.624Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21597829_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,Flaked Light Tuna In Olive Oil & Chili Pepper,7.5,3.13,100,g,2025-04-11T14:49:48.647Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21620822_EA?lang=en&date=11042025&pickupType=STORE&storeId=7411&banner=nofrills,"Ready To Serve Soup Tomato, Basil & Orzo",3.5,0.65,100,ml,2025-04-11T14:49:54.693Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20585460_EA?lang=en&date=11042025&pickupType=STORE&storeId=7411&banner=nofrills,Ready Bake Garlic Bread,2.59,0.91,100,g,2025-04-11T14:50:00.961Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20659079_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,Bread Original Swedish Style Light Rye,2.47,0.54,100,g,2025-04-11T14:50:07.984Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21393210_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,Jute Leaves Dahon Ng Saluyot,2.29,1.01,100,g,2025-04-11T14:50:14.731Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21626847_EA?lang=en&date=11042025&pickupType=STORE&storeId=7411&banner=nofrills,Title not available,NULL,NULL,NULL,NULL,2025-04-11T14:50:20.818Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20882065001_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,Mango Malai Kulfi Indian Style Ice Cream,7.69,2.14,100,ml,2025-04-11T14:50:27.095Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21290680_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,Herb & Garlic Cheddar Cheese Slices,6.5,3.25,100,g,2025-04-11T14:50:33.248Z
