url,name,price,com_price,com_quantity,com_unit,timestamp
https://api.pcexpress.ca/pcx-bff/api/v1/products/20617972_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Rosemary Leaves,2.49,4.98,100,g,2025-04-12T04:05:28.536Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20152424_EA?lang=en&date=12042025&pickupType=STORE&storeId=7411&banner=nofrills,Soft Margarine Spread,4.49,1.05,100,g,2025-04-12T04:05:33.997Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20310630_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Pure Orange Marmalade,6,1.2,100,ml,2025-04-12T04:05:39.709Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20185144001_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Crisp & Thin Vegetable Crackers,3,1.33,100,g,2025-04-12T04:05:45.177Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21344016_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Reese's Peanut Butter & Cocoa Flavour Cereal Bars,7.49,1.95,100,g,2025-04-12T04:05:51.006Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20040698_EA?lang=en&date=12042025&pickupType=STORE&storeId=7411&banner=nofrills,"Pepperoni, Sliced Club Pack",12.99,2.598,100,g,2025-04-12T04:05:56.428Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20000177_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Creamy Horseradish Sauce,4.79,1.92,100,ml,2025-04-12T04:06:02.387Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20325132005_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,"Yogurt with Probiotics, Raspberry Flavour",3.67,0.56,100,g,2025-04-12T04:06:07.989Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21597652_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Organic Penne,5.99,2.64,100,g,2025-04-12T04:06:13.705Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20118322_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,"Olives, Stuffed with Jalapeno",4.29,1.14,100,ml,2025-04-12T04:06:19.289Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21464740_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Grinder Refill Himalayan Pink Salt Extra Coarse,5.99,2.35,100,g,2025-04-12T04:06:24.943Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21302946_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Salt & Vinegar Potato Chips,1.39,0.7,100,g,2025-04-12T04:06:30.592Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21163498_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Buttermilk Breaded Chicken Breast Strips,19.99,2.2,100,g,2025-04-12T04:06:36.301Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21588696_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Organics Unsalted Butter Churned,6.49,2.6,100,g,2025-04-12T04:06:42.097Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20531313_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,100% Apple Juice,3.29,0.17,100,ml,2025-04-12T04:06:47.683Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20436299_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,"Almond Beverage, Vanilla Flavour, Dairy-Free",4,0.21,100,ml,2025-04-12T04:06:53.230Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21583520_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,"French Roast for NESPRESSO VERTUO, Coffee",11.99,11.99,100,g,2025-04-12T04:06:58.919Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20973355_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,No Calorie Granulated Sugar Substitute,10.99,4,100,g,2025-04-12T04:07:04.607Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21599148_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,"Cheerios Veggie blends Breakfast Cereal, Apple Strawberry, Whole Grains,",4.49,1.5,100,g,2025-04-12T04:07:10.559Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21518641_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Birthday Cake Chocolate Drizzled Bites,4,16.67,100,g,2025-04-12T04:07:15.963Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21545605_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,"Swedish Berries Candy, Gummy Candy",3.29,2.14,100,g,2025-04-12T04:07:21.559Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21117359_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Thyme Leaves,5.99,24.96,100,g,2025-04-12T04:07:27.169Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20902072_EA?lang=en&date=12042025&pickupType=STORE&storeId=7411&banner=nofrills,Phyllo Collection,8.99,3.75,100,g,2025-04-12T04:07:32.969Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21412076_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Milk Chocolate,4.29,4.29,100,g,2025-04-12T04:07:38.842Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21023784_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Creamy Peanut Butter,5.99,0.6,100,g,2025-04-12T04:07:44.448Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21651974_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Yogourt Banana 2% Multipack,5.29,1.32,100,g,2025-04-12T04:07:50.312Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20322658001_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Instant Noodles Chicken Flavour,0.5,0.59,100,g,2025-04-12T04:07:57.135Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21603946_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Spicy Korean Style Pork Macaroni & Cheese Frozen Meal,4.75,1.58,100,g,2025-04-12T04:08:03.365Z
